id,description,icd
3471,OTHER DISORDERS OF ARTERIES ARTERIOLES AND CAPILLARIES IN DISEASES CLASSIFIED ELSEWHERE,3471
3472,PHLEBITIS AND THROMBOPHLEBITIS OF SUPERFICIAL VESSELS OF LOWER EXTREMITIES,3472
3473,PHLEBITIS AND THROMBOPHLEBITIS OF FEMORAL VEIN,3473
3474,PHLEBITIS AND THROMBOPHLEBITIS OF OTHER DEEP VESSELS OF LOWER EXTREMITIES,3474
3475,PHLEBITIS AND THROMBOPHLEBITIS OF LOWER EXTREMITIES UNSPECIFIED,3475
3476,PHLEBITIS AND THROMBOPHLEBITIS OF OTHER SITES,3476
3477,PHLEBITIS AND THROMBOPHLEBITIS OF UNSPECIFIED SITE,3477
3478,PORTAL VEIN THROMBOSIS,3478
3479,BUDD CHIARI SYNDROME,3479
3480,THROMBOPHLEBITIS MIGRANS,3480
3481,EMBOLISM AND THROMBOSIS OF VENA CAVA,3481
3482,EMBOLISM AND THROMBOSIS OF RENAL VEIN,3482
3483,EMBOLISM AND THROMBOSIS OF OTHER SPECIFIED VEINS,3483
3484,EMBOLISM AND THROMBOSIS OF UNSPECIFIED VEIN,3484
3485,VARICOSE VEINS OF LOWER EXTREMITIES WITH ULCER,3485
3486,VARICOSE VEINS OF LOWER EXTREMITIES WITH INFLAMMATION,3486
3487,VARICOSE VEINS OF LOWER EXTREMITIES WITH BOTH ULCER AND INFLAMMATION,3487
3488,VARICOSE VEINS OF LOWER EXTREMITIES WITHOUT ULCER OR INFLAMMATION,3488
3489,INTERNAL THROMBOSED HAEMORRHOIDS,3489
3490,INTERNAL HAEMORRHOIDS WITH OTHER COMPLICATIONS,3490
3491,INTERNAL HAEMORRHOIDS WITHOUT COMPLICATION,3491
3492,EXTERNAL THROMBOSED HAEMORRHOIDS,3492
3493,EXTERNAL HAEMORRHOIDS WITH OTHER COMPLICATIONS,3493
3494,EXTERNAL HAEMORRHOIDS WITHOUT COMPLICATION,3494
3495,RESIDUAL HAEMORRHOIDAL SKIN TAGS,3495
3496,UNSPECIFIED THROMBOSED HAEMORRHOIDS,3496
3497,UNSPECIFIED HAEMORRHOIDS WITH OTHER COMPLICATIONS,3497
3498,UNSPECIFIED HAEMORRHOIDS WITHOUT COMPLICATION,3498
3499,OESOPHAGEAL VARICES WITH BLEEDING,3499
3500,OESOPHAGEAL VARICES WITHOUT BLEEDING,3500
3501,SUBLINGUAL VARICES,3501
3502,SCROTAL VARICES,3502
3503,PELVIC VARICES,3503
3504,VULVAL VARICES,3504
3505,GASTRIC VARICES,3505
3506,VARICOSE VEINS OF OTHER SPECIFIED SITES,3506
3507,POSTPHLEBITIC SYNDROME,3507
3508,COMPRESSION OF VEIN,3508
3509,VENOUS INSUFFICIENCY CHRONIC PERIPHERAL,3509
3510,OTHER SPECIFIED DISORDERS OF VEINS,3510
3511,DISORDER OF VEIN UNSPECIFIED,3511
3512,NONSPECIFIC MESENTERIC LYMPHADENITIS,3512
3513,CHRONIC LYMPHADENITIS EXCEPT MESENTERIC,3513
3514,OTHER NONSPECIFIC LYMPHADENITIS,3514
3515,NONSPECIFIC LYMPHADENITIS UNSPECIFIED,3515
3516,LYMPHOEDEMA NOT ELSEWHERE CLASSIFIED,3516
3517,LYMPHANGITIS,3517
3518,OTHER SPECIFIED NONINFECTIVE DISORDERS OF LYMPHATIC VESSELS AND LYMPH NODES,3518
3519,NONINFECTIVE DISORDER OF LYMPHATIC VESSELS AND LYMPH NODES UNSPECIFIED,3519
3520,IDIOPATHIC HYPOTENSION,3520
3521,ORTHOSTATIC HYPOTENSION,3521
3522,HYPOTENSION DUE TO DRUGS,3522
3523,OTHER HYPOTENSION,3523
3524,HYPOTENSION UNSPECIFIED,3524
3525,POSTCARDIOTOMY SYNDROME,3525
3526,OTHER FUNCTIONAL DISTURBANCES FOLLOWING CARDIAC SURGERY,3526
3527,POSTMASTECTOMY LYMPHOEDEMA SYNDROME,3527
3528,OTHER POSTPROCEDURAL DISORDERS OF CIRCULATORY SYSTEM NOT ELSEWHERE CLASSIFIED,3528
3529,POSTPROCEDURAL DISORDER OF CIRCULATORY SYSTEM UNSPECIFIED,3529
3530,CARDIOVASCULAR DISORDERS IN OTHER INFECTIOUS AND PARASITIC DISEASES CLASSIFIED ELSEWHERE,3530
3531,OESOPHAGEAL VARICES IN DISEASES CLASSIFIED ELSEWHERE,3531
3532,OTHER SPECIFIED DISORDERS OF CIRCULATORY SYSTEM IN DISEASES CLASSIFIED ELSEWHERE,3532
3533,OTHER AND UNSPECIFIED DISORDERS OF CIRCULATORY SYSTEM,3533
3534,ACUTE NASOPHARYNGITIS COMMON COLD,3534
3535,ACUTE MAXILLARY SINUSITIS,3535
3536,ACUTE FRONTAL SINUSITIS,3536
3537,ACUTE ETHMOIDAL SINUSITIS,3537
3538,ACUTE SPHENOIDAL SINUSITIS,3538
3539,ACUTE PANSINUSITIS,3539
3540,OTHER ACUTE SINUSITIS,3540
3541,ACUTE SINUSITIS UNSPECIFIED,3541
3542,STREPTOCOCCAL PHARYNGITIS,3542
3543,ACUTE PHARYNGITIS DUE TO OTHER SPECIFIED ORGANISMS,3543
3544,ACUTE PHARYNGITIS UNSPECIFIED,3544
3545,STREPTOCOCCAL TONSILLITIS,3545
3546,ACUTE TONSILLITIS DUE TO OTHER SPECIFIED ORGANISMS,3546
3547,ACUTE TONSILLITIS UNSPECIFIED,3547
3548,ACUTE LARYNGITIS,3548
3549,ACUTE TRACHEITIS,3549
3550,ACUTE LARYNGOTRACHEITIS,3550
3551,ACUTE OBSTRUCTIVE LARYNGITIS CROUP,3551
3552,ACUTE EPIGLOTTITIS,3552
3553,ACUTE LARYNGOPHARYNGITIS,3553
3554,OTHER ACUTE UPPER RESPIRATORY INFECTIONS OF MULTIPLE SITES,3554
3555,ACUTE UPPER RESPIRATORY INFECTION UNSPECIFIED,3555
3556,INFLUENZA DUE TO IDENTIFIED AVIAN INFLUENZA VIRUS,3556
3557,INFLUENZA WITH PNEUMONIA OTHER INFLUENZA VIRUS IDENTIFIED,3557
3558,INFLUENZA WITH OTHER RESPIRATORY MANIFESTATIONS OTHER INFLUENZA VIRUS IDENTIFIED,3558
3559,INFLUENZA WITH OTHER MANIFESTATIONS OTHER INFLUENZA VIRUS IDENTIFIED,3559
3560,INFLUENZA WITH PNEUMONIA VIRUS NOT IDENTIFIED,3560
3561,INFLUENZA WITH OTHER RESPIRATORY MANIFESTATIONS VIRUS NOT IDENTIFIED,3561
3562,INFLUENZA WITH OTHER MANIFESTATIONS VIRUS NOT IDENTIFIED,3562
3563,ADENOVIRAL PNEUMONIA,3563
3564,RESPIRATORY SYNCYTIAL VIRUS PNEUMONIA,3564
3565,PARAINFLUENZA VIRUS PNEUMONIA,3565
3566,OTHER VIRAL PNEUMONIA,3566
3567,VIRAL PNEUMONIA UNSPECIFIED,3567
3568,PNEUMONIA DUE TO STREPTOCOCCUS PNEUMONIAE,3568
3569,PNEUMONIA DUE TO HAEMOPHILUS INFLUENZAE,3569
3570,PNEUMONIA DUE TO KLEBSIELLA PNEUMONIAE,3570
3571,PNEUMONIA DUE TO PSEUDOMONAS,3571
3572,PNEUMONIA DUE TO STAPHYLOCOCCUS,3572
3573,PNEUMONIA DUE TO STREPTOCOCCUS GROUP B,3573
3574,PNEUMONIA DUE TO OTHER STREPTOCOCCI,3574
3575,PNEUMONIA DUE TO ESCHERICHIA COLI,3575
3576,PNEUMONIA DUE TO OTHER AEROBIC GRAM NEGATIVE BACTERIA,3576
3577,PNEUMONIA DUE TO MYCOPLASMA PNEUMONIAE,3577
3578,OTHER BACTERIAL PNEUMONIA,3578
3579,BACTERIAL PNEUMONIA UNSPECIFIED,3579
3580,CHLAMYDIAL PNEUMONIA,3580
3581,PNEUMONIA DUE TO OTHER SPECIFIED INFECTIOUS ORGANISMS,3581
3582,PNEUMONIA IN BACTERIAL DISEASES CLASSIFIED ELSEWHERE,3591
3583,PNEUMONIA IN VIRAL DISEASES CLASSIFIED ELSEWHERE,3583
3584,PNEUMONIA IN MYCOSES,3584
3585,PNEUMONIA IN PARASITIC DISEASES,3585
3586,PNEUMONIA IN OTHER DISEASES CLASSIFIED ELSEWHERE,3586
3587,BRONCHOPNEUMONIA UNSPECIFIED,3587
3588,LOBAR PNEUMONIA UNSPECIFIED,3588
3589,HYPOSTATIC PNEUMONIA UNSPECIFIED,3589
3590,OTHER PNEUMONIA ORGANISM UNSPECIFIED,3590
3591,PNEUMONIA UNSPECIFIED,3591
3592,ACUTE BRONCHITIS DUE TO MYCOPLASMA PNEUMONIAE,3592
3593,ACUTE BRONCHITIS DUE TO HAEMOPHILUS INFLUENZAE,3593
3594,ACUTE BRONCHITIS DUE TO STREPTOCOCCUS,3594
3595,ACUTE BRONCHITIS DUE TO COXSACKIEVIRUS,3595
3596,ACUTE BRONCHITIS DUE TO PARAINFLUENZA VIRUS,3596
3597,ACUTE BRONCHITIS DUE TO RESPIRATORY SYNCYTIAL VIRUS,3597
3598,ACUTE BRONCHITIS DUE TO RHINOVIRUS,3598
3599,ACUTE BRONCHITIS DUE TO ECHOVIRUS,3599
3600,ACUTE BRONCHITIS DUE TO OTHER SPECIFIED ORGANISMS,3600
3601,ACUTE BRONCHITIS UNSPECIFIED,3601
3602,ACUTE BRONCHIOLITIS DUE TO RESPIRATORY SYNCYTIAL VIRUS,3602
3603,ACUTE BRONCHIOLITIS DUE TO OTHER SPECIFIED ORGANISMS,3603
3604,ACUTE BRONCHIOLITIS UNSPECIFIED,3604
3605,UNSPECIFIED ACUTE LOWER RESPIRATORY INFECTION,3605
3606,VASOMOTOR RHINITIS,3606
3607,ALLERGIC RHINITIS DUE TO POLLEN,3607
3608,OTHER SEASONAL ALLERGIC RHINITIS,3608
3609,OTHER ALLERGIC RHINITIS,3609
3610,ALLERGIC RHINITIS UNSPECIFIED,3610
3611,CHRONIC RHINITIS,3611
3612,CHRONIC NASOPHARYNGITIS,3612
3613,CHRONIC PHARYNGITIS,3613
3614,CHRONIC MAXILLARY SINUSITIS,3614
3615,CHRONIC FRONTAL SINUSITIS,3615
3616,CHRONIC ETHMOIDAL SINUSITIS,3616
3617,CHRONIC SPHENOIDAL SINUSITIS,3617
3618,CHRONIC PANSINUSITIS,3618
3619,OTHER CHRONIC SINUSITIS,3619
3620,CHRONIC SINUSITIS UNSPECIFIED,3620
3621,POLYP OF NASAL CAVITY,3621
3622,POLYPOID SINUS DEGENERATION,3622
3623,OTHER POLYP OF SINUS,3623
3624,NASAL POLYP UNSPECIFIED,3624
3625,ABSCESS FURUNCLE AND CARBUNCLE OF NOSE,3625
3626,CYST AND MUCOCELE OF NOSE AND NASAL SINUS,3626
3627,DEVIATED NASAL SEPTUM,3627
3628,HYPERTROPHY OF NASAL TURBINATES,3628
3629,OTHER SPECIFIED DISORDERS OF NOSE AND NASAL SINUSES,3629
3630,CHRONIC TONSILLITIS,3630
3631,HYPERTROPHY OF TONSILS,3631
3632,HYPERTROPHY OF ADENOIDS,3632
3633,HYPERTROPHY OF TONSILS WITH HYPERTROPHY OF ADENOIDS,3633
3634,OTHER CHRONIC DISEASES OF TONSILS AND ADENOIDS,3634
3635,CHRONIC DISEASE OF TONSILS AND ADENOIDS UNSPECIFIED,3635
3636,PERITONSILLAR ABSCESS,3636
3637,CHRONIC LARYNGITIS,3637
3638,CHRONIC LARYNGOTRACHEITIS,3638
3639,PARALYSIS OF VOCAL CORDS AND LARYNX,3639
3640,POLYP OF VOCAL CORD AND LARYNX,3640
3641,NODULES OF VOCAL CORDS,3641
3642,OTHER DISEASES OF VOCAL CORDS,3642
3643,OEDEMA OF LARYNX,3643
3644,LARYNGEAL SPASM,3644
3645,STENOSIS OF LARYNX,3645
3646,OTHER DISEASES OF LARYNX,3646
3647,RETROPHARYNGEAL AND PARAPHARYNGEAL ABSCESS,3647
3648,OTHER ABSCESS OF PHARYNX,3648
3649,OTHER DISEASES OF PHARYNX,3649
3650,UPPER RESPIRATORY TRACT HYPERSENSITIVITY REACTION SITE UNSPECIFIED,3650
3651,OTHER SPECIFIED DISEASES OF UPPER RESPIRATORY TRACT,3651
3652,DISEASE OF UPPER RESPIRATORY TRACT UNSPECIFIED,3652
3653,BRONCHITIS NOT SPECIFIED AS ACUTE OR CHRONIC,3653
3654,SIMPLE CHRONIC BRONCHITIS,3654
3655,MUCOPURULENT CHRONIC BRONCHITIS,3655
3656,MIXED SIMPLE AND MUCOPURULENT CHRONIC BRONCHITIS,3656
3657,UNSPECIFIED CHRONIC BRONCHITIS,3657
3658,MACLEOD S SYNDROME,3658
3659,PANLOBULAR EMPHYSEMA,3659
3660,CENTRILOBULAR EMPHYSEMA,3660
3661,OTHER EMPHYSEMA,3661
3662,EMPHYSEMA UNSPECIFIED,3662
3663,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH ACUTE LOWER RESPIRATORY INFECTION,3663
3664,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH ACUTE EXACERBATION UNSPECIFIED,3664
3665,OTHER SPECIFIED CHRONIC OBSTRUCTIVE PULMONARY DISEASE,3665
3666,CHRONIC OBSTRUCTIVE PULMONARY DISEASE UNSPECIFIED,3666
3667,PREDOMINANTLY ALLERGIC ASTHMA,3667
3668,NONALLERGIC ASTHMA,3668
3669,MIXED ASTHMA,3669
3670,ASTHMA UNSPECIFIED,3670
3671,STATUS ASTHMATICUS,3671
3672,BRONCHIECTASIS,3672
3673,COALWORKER S PNEUMOCONIOSIS,3673
3674,PNEUMOCONIOSIS DUE TO ASBESTOS AND OTHER MINERAL FIBRES,3674
3675,PNEUMOCONIOSIS DUE TO TALC DUST,3675
3676,PNEUMOCONIOSIS DUE TO OTHER DUST CONTAINING SILICA,3676
3677,ALUMINOSIS OF LUNG,3677
3678,BAUXITE FIBROSIS OF LUNG,3678
3679,BERYLLIOSIS,3679
3680,GRAPHITE FIBROSIS OF LUNG,3680
3681,SIDEROSIS,3681
3682,STANNOSIS,3682
3683,PNEUMOCONIOSIS DUE TO OTHER SPECIFIED INORGANIC DUSTS,3683
3684,UNSPECIFIED PNEUMOCONIOSIS,3684
3685,PNEUMOCONIOSIS ASSOCIATED WITH TUBERCULOSIS,3685
3686,BYSSINOSIS,3686
3687,FLAX DRESSER S DISEASE,3687
3688,CANNABINOSIS,3688
3689,AIRWAY DISEASE DUE TO OTHER SPECIFIC ORGANIC DUSTS,3689
3690,FARMER S LUNG,3690
3691,BAGASSOSIS,3691
3692,BIRD FANCIER S LUNG,3692
3693,SUBEROSIS,3693
3694,MALTWORKER S LUNG,3694
3695,MUSHROOM WORKER S LUNG,3695
3696,MAPLE BARK STRIPPER S LUNG,3696
3697,AIR CONDITIONER AND HUMIDIFIER LUNG,3697
3698,HYPERSENSITIVITY PNEUMONITIS DUE TO OTHER ORGANIC DUSTS,3698
3699,HYPERSENSITIVITY PNEUMONITIS DUE TO UNSPECIFIED ORGANIC DUST,3699
3700,BRONCHITIS AND PNEUMONITIS DUE TO CHEMICALS GASES FUMES AND VAPOURS,3700
3701,PULMONARY OEDEMA DUE TO CHEMICALS GASES FUMES AND VAPOURS,3701
3702,UPPER RESPIRATORY INFLAMMATION DUE TO CHEMICALS GASES FUMES AND VAPOURS NOT ELSEWHERE CLASSIFIED,3702
3703,OTHER ACUTE AND SUBACUTE RESPIRATORY CONDITIONS DUE TO CHEMICALS GASES FUMES AND VAPOURS,3703
3704,CHRONIC RESPIRATORY CONDITIONS DUE TO CHEMICALS GASES FUMES AND VAPOURS,3704
3705,OTHER RESPIRATORY CONDITIONS DUE TO CHEMICALS GASES FUMES AND VAPOURS,3705
3706,UNSPECIFIED RESPIRATORY CONDITION DUE TO CHEMICALS GASES FUMES AND VAPOURS,3706
3707,PNEUMONITIS DUE TO FOOD AND VOMIT,3707
3708,PNEUMONITIS DUE TO OILS AND ESSENCES,3708
3709,PNEUMONITIS DUE TO OTHER SOLIDS AND LIQUIDS,3709
3710,ACUTE PULMONARY MANIFESTATIONS DUE TO RADIATION,3710
3711,CHRONIC AND OTHER PULMONARY MANIFESTATIONS DUE TO RADIATION,3711
3712,ACUTE DRUG INDUCED INTERSTITIAL LUNG DISORDERS,3712
3713,CHRONIC DRUG INDUCED INTERSTITIAL LUNG DISORDERS,3713
3714,DRUG INDUCED INTERSTITIAL LUNG DISORDERS UNSPECIFIED,3714
3715,RESPIRATORY CONDITIONS DUE TO OTHER SPECIFIED EXTERNAL AGENTS,3715
3716,RESPIRATORY CONDITIONS DUE TO UNSPECIFIED EXTERNAL AGENT,3716
3717,ADULT RESPIRATORY DISTRESS SYNDROME,3717
3718,PULMONARY OEDEMA,3718
3719,PULMONARY EOSINOPHILIA NOT ELSEWHERE CLASSIFIED,3719
3720,ALVEOLAR AND PARIETOALVEOLAR CONDITIONS,3720
3721,OTHER INTERSTITIAL PULMONARY DISEASES WITH FIBROSIS,3721
3722,OTHER SPECIFIED INTERSTITIAL PULMONARY DISEASES,3722
3723,INTERSTITIAL PULMONARY DISEASE UNSPECIFIED,3723
3724,GANGRENE AND NECROSIS OF LUNG,3724
3725,ABSCESS OF LUNG WITH PNEUMONIA,3725
3726,ABSCESS OF LUNG WITHOUT PNEUMONIA,3726
3727,ABSCESS OF MEDIASTINUM,3727
3728,PYOTHORAX WITH FISTULA,3728
3729,PYOTHORAX WITHOUT FISTULA,3729
3730,PLEURAL EFFUSION NOT ELSEWHERE CLASSIFIED,3730
3731,PLEURAL EFFUSION IN CONDITIONS CLASSIFIED ELSEWHERE,3731
3732,PLEURAL PLAQUE WITH PRESENCE OF ASBESTOS,3732
3733,PLEURAL PLAQUE WITHOUT ASBESTOS,3733
3734,SPONTANEOUS TENSION PNEUMOTHORAX,3734
3735,OTHER SPONTANEOUS PNEUMOTHORAX,3735
3736,OTHER PNEUMOTHORAX,3736
3737,PNEUMOTHORAX UNSPECIFIED,3737
3738,CHYLOUS EFFUSION,3738
3739,FIBROTHORAX,3739
3740,HAEMOTHORAX,3740
3741,OTHER SPECIFIED PLEURAL CONDITIONS,3741
3742,PLEURAL CONDITION UNSPECIFIED,3742
3743,TRACHEOSTOMY MALFUNCTION,3743
3744,ACUTE PULMONARY INSUFFICIENCY FOLLOWING THORACIC SURGERY,3744
3745,ACUTE PULMONARY INSUFFICIENCY FOLLOWING NONTHORACIC SURGERY,3745
3746,CHRONIC PULMONARY INSUFFICIENCY FOLLOWING SURGERY,3746
3747,MENDELSON S SYNDROME,3747
3748,POSTPROCEDURAL SUBGLOTTIC STENOSIS,3748
3749,OTHER POSTPROCEDURAL RESPIRATORY DISORDERS,3749
3750,POSTPROCEDURAL RESPIRATORY DISORDER UNSPECIFIED,3750
3751,ACUTE RESPIRATORY FAILURE,3751
3752,CHRONIC RESPIRATORY FAILURE,3752
3753,RESPIRATORY FAILURE UNSPECIFIED,3753
3754,DISEASES OF BRONCHUS NOT ELSEWHERE CLASSIFIED,3754
3755,PULMONARY COLLAPSE,3755
3756,INTERSTITIAL EMPHYSEMA,3756
3757,COMPENSATORY EMPHYSEMA,3757
3758,OTHER DISORDERS OF LUNG,3758
3759,DISEASES OF MEDIASTINUM NOT ELSEWHERE CLASSIFIED,3759
3760,DISORDERS OF DIAPHRAGM,3760
3761,OTHER SPECIFIED RESPIRATORY DISORDERS,3761
3762,RESPIRATORY DISORDER UNSPECIFIED,3762
3763,RHEUMATOID LUNG DISEASE,4546
3764,RESPIRATORY DISORDERS IN OTHER DIFFUSE CONNECTIVE TISSUE DISORDERS,3763
3765,RESPIRATORY DISORDERS IN OTHER DISEASES CLASSIFIED ELSEWHERE,3764
3766,ANODONTIA,3765
3767,SUPERNUMERARY TEETH,3766
3768,ABNORMALITIES OF SIZE AND FORM OF TEETH,3767
3769,MOTTLED TEETH,3768
3770,DISTURBANCES IN TOOTH FORMATION,3769
3771,HEREDITARY DISTURBANCES IN TOOTH STRUCTURE NOT ELSEWHERE CLASSIFIED,3770
3772,DISTURBANCES IN TOOTH ERUPTION,3771
3773,TEETHING SYNDROME,3772
3774,OTHER DISORDERS OF TOOTH DEVELOPMENT,3773
3775,DISORDER OF TOOTH DEVELOPMENT UNSPECIFIED,3774
3776,EMBEDDED TEETH,3775
3777,IMPACTED TEETH,3776
3778,CARIES LIMITED TO ENAMEL,3777
3779,CARIES OF DENTINE,3778
3780,CARIES OF CEMENTUM,3779
3781,ARRESTED DENTAL CARIES,3780
3782,ODONTOCLASIA,3781
3783,OTHER DENTAL CARIES,3782
3784,DENTAL CARIES UNSPECIFIED,3783
3785,EXCESSIVE ATTRITION OF TEETH,3784
3786,ABRASION OF TEETH,3785
3787,EROSION OF TEETH,3786
3788,PATHOLOGICAL RESORPTION OF TEETH,3787
3789,HYPERCEMENTOSIS,3788
3790,ANKYLOSIS OF TEETH,3789
3791,DEPOSITS ACCRETIONS ON TEETH,3790
3792,POSTERUPTIVE COLOUR CHANGES OF DENTAL HARD TISSUES,3791
3793,OTHER SPECIFIED DISEASES OF HARD TISSUES OF TEETH,3792
3794,DISEASE OF HARD TISSUES OF TEETH UNSPECIFIED,3793
3795,PULPITIS,3794
3796,NECROSIS OF PULP,3795
3797,PULP DEGENERATION,3796
3798,ABNORMAL HARD TISSUE FORMATION IN PULP,3797
3799,ACUTE APICAL PERIODONTITIS OF PULPAL ORIGIN,3798
3800,CHRONIC APICAL PERIODONTITIS,3799
3801,PERIAPICAL ABSCESS WITH SINUS,3800
3802,PERIAPICAL ABSCESS WITHOUT SINUS,3801
3803,RADICULAR CYST,3802
3804,OTHER AND UNSPECIFIED DISEASES OF PULP AND PERIAPICAL TISSUES,3803
3805,ACUTE GINGIVITIS,3804
3806,CHRONIC GINGIVITIS,3805
3807,ACUTE PERIODONTITIS,3806
3808,CHRONIC PERIODONTITIS,3807
3809,PERIODONTOSIS,3808
3810,OTHER PERIODONTAL DISEASES,3809
3811,PERIODONTAL DISEASE UNSPECIFIED,3810
3812,GINGIVAL RECESSION,3811
3813,GINGIVAL ENLARGEMENT,3812
3814,GINGIVAL AND EDENTULOUS ALVEOLAR RIDGE LESIONS ASSOCIATED WITH TRAUMA,3813
3815,OTHER SPECIFIED DISORDERS OF GINGIVA AND EDENTULOUS ALVEOLAR RIDGE,3814
3816,DISORDER OF GINGIVA AND EDENTULOUS ALVEOLAR RIDGE UNSPECIFIED,3815
3817,MAJOR ANOMALIES OF JAW SIZE,3816
3818,ANOMALIES OF JAW CRANIAL BASE RELATIONSHIP,3817
3819,ANOMALIES OF DENTAL ARCH RELATIONSHIP,3818
3820,ANOMALIES OF TOOTH POSITION,3819
3821,MALOCCLUSION UNSPECIFIED,3820
3822,DENTOFACIAL FUNCTIONAL ABNORMALITIES,3821
3823,TEMPOROMANDIBULAR JOINT DISORDERS,3822
3824,OTHER DENTOFACIAL ANOMALIES,3823
3825,DENTOFACIAL ANOMALY UNSPECIFIED,3824
3826,EXFOLIATION OF TEETH DUE TO SYSTEMIC CAUSES,3825
3827,LOSS OF TEETH DUE TO ACCIDENT EXTRACTION OR LOCAL PERIODONTAL DISEASE,3826
3828,ATROPHY OF EDENTULOUS ALVEOLAR RIDGE,3827
3829,RETAINED DENTAL ROOT,3828
3830,OTHER SPECIFIED DISORDERS OF TEETH AND SUPPORTING STRUCTURES,3829
3831,DISORDER OF TEETH AND SUPPORTING STRUCTURES UNSPECIFIED,3830
3832,DEVELOPMENTAL ODONTOGENIC CYSTS,3831
3833,DEVELOPMENTAL NONODONTOGENIC CYSTS OF ORAL REGION,3832
3834,OTHER CYSTS OF JAW,3833
3835,OTHER CYSTS OF ORAL REGION NOT ELSEWHERE CLASSIFIED,3834
3836,CYST OF ORAL REGION UNSPECIFIED,3835
3837,DEVELOPMENTAL DISORDERS OF JAWS,3836
3838,GIANT CELL GRANULOMA CENTRAL,3837
3839,INFLAMMATORY CONDITIONS OF JAWS,3838
3840,ALVEOLITIS OF JAWS,3839
3841,OTHER SPECIFIED DISEASES OF JAWS,3840
3842,DISEASE OF JAWS UNSPECIFIED,3841
3843,ATROPHY OF SALIVARY GLAND,3842
3844,HYPERTROPHY OF SALIVARY GLAND,3843
3845,SIALOADENITIS,3844
3846,ABSCESS OF SALIVARY GLAND,3845
3847,FISTULA OF SALIVARY GLAND,3846
3848,SIALOLITHIASIS,3847
3849,MUCOCELE OF SALIVARY GLAND,3848
3850,DISTURBANCES OF SALIVARY SECRETION,3849
3851,OTHER DISEASES OF SALIVARY GLANDS,3850
3852,DISEASE OF SALIVARY GLAND UNSPECIFIED,3851
3853,RECURRENT ORAL APHTHAE,3852
3854,OTHER FORMS OF STOMATITIS,3853
3855,CELLULITIS AND ABSCESS OF MOUTH,3854
3856,DISEASES OF LIPS,3855
3857,CHEEK AND LIP BITING,3856
3858,LEUKOPLAKIA AND OTHER DISTURBANCES OF ORAL EPITHELIUM INCLUDING TONGUE,3857
3859,HAIRY LEUKOPLAKIA,3858
3860,GRANULOMA AND GRANULOMA LIKE LESIONS OF ORAL MUCOSA,3859
3861,ORAL SUBMUCOUS FIBROSIS,3860
3862,IRRITATIVE HYPERPLASIA OF ORAL MUCOSA,3861
3863,OTHER AND UNSPECIFIED LESIONS OF ORAL MUCOSA,3862
3864,GLOSSITIS,3863
3865,GEOGRAPHIC TONGUE,3864
3866,MEDIAN RHOMBOID GLOSSITIS,3865
3867,HYPERTROPHY OF TONGUE PAPILLAE,3866
3868,ATROPHY OF TONGUE PAPILLAE,3867
3869,PLICATED TONGUE,3868
3870,GLOSSODYNIA,3869
3871,OTHER DISEASES OF TONGUE,3870
3872,DISEASE OF TONGUE UNSPECIFIED,3871
3873,OESOPHAGITIS,3872
3874,GASTRO OESOPHAGEAL REFLUX DISEASE WITH OESOPHAGITIS,3873
3875,GASTRO OESOPHAGEAL REFLUX DISEASE WITHOUT OESOPHAGITIS,3874
3876,ACHALASIA OF CARDIA,3875
3877,ULCER OF OESOPHAGUS,3876
3878,OESOPHAGEAL OBSTRUCTION,3877
3879,PERFORATION OF OESOPHAGUS,3878
3880,DYSKINESIA OF OESOPHAGUS,3879
3881,DIVERTICULUM OF OESOPHAGUS ACQUIRED,3880
3882,GASTRO OESOPHAGEAL LACERATION HAEMORRHAGE SYNDROME,3881
3883,BARRETT S OESOPHAGUS,3882
3884,OTHER SPECIFIED DISEASES OF OESOPHAGUS,3883
3885,DISEASE OF OESOPHAGUS UNSPECIFIED,3884
3886,TUBERCULOUS OESOPHAGITIS,3885
3887,MEGAOESOPHAGUS IN CHAGAS DISEASE,3886
3888,DISORDERS OF OESOPHAGUS IN OTHER DISEASES CLASSIFIED ELSEWHERE,3887
3889,GASTRIC ULCER ACUTE WITH HAEMORRHAGE,3888
3890,GASTRIC ULCER ACUTE WITH PERFORATION,3889
3891,GASTRIC ULCER ACUTE WITH BOTH HAEMORRHAGE AND PERFORATION,3890
3892,GASTRIC ULCER ACUTE WITHOUT HAEMORRHAGE OR PERFORATION,3891
3893,GASTRIC ULCER CHRONIC OR UNSPECIFIED WITH HAEMORRHAGE,3892
3894,GASTRIC ULCER CHRONIC OR UNSPECIFIED WITH PERFORATION,3893
3895,GASTRIC ULCER CHRONIC OR UNSPECIFIED WITH BOTH HAEMORRHAGE AND PERFORATION,3894
3896,GASTRIC ULCER CHRONIC WITHOUT HAEMORRHAGE OR PERFORATION,3895
3897,GASTRIC ULCER UNSPECIFIED AS ACUTE OR CHRONIC WITHOUT HAEMORRHAGE OR PERFORATION,3896
3898,DUODENAL ULCER ACUTE WITH HAEMORRHAGE,3897
3899,DUODENAL ULCER ACUTE WITH PERFORATION,3898
3900,DUODENAL ULCER ACUTE WITH BOTH HAEMORRHAGE AND PERFORATION,3899
3901,DUODENAL ULCER ACUTE WITHOUT HAEMORRHAGE OR PERFORATION,3900
